# Rime user dictionary
#@/db_name	jyut6ping3
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	57107
#@/user_id	f0f17d41-97b2-4dca-ad5e-3e828221d473
caak6 	賊	c=1 d=3.03726e-70 t=57107
caam1 	叄	c=5 d=3.5192e-38 t=57107
caam1 haau2 	參考	c=12 d=9.97216e-27 t=57107
caam1 jyu5 	參與	c=3 d=2.20452e-06 t=57107
caam1 sou3 	參數	c=15 d=8.336e-25 t=57107
caam2 	慘	c=3 d=3.20081e-40 t=57107
caan1 	餐	c=7 d=1.26522e-101 t=57107
caan1 baa6 	餐吧	c=1 d=4.5575e-109 t=57107
caan1 hau6 	餐後	c=2 d=2.60355e-102 t=57107
caan1 jam2 	餐飲	c=4 d=3.46633e-07 t=57107
caan1 sou2 	餐數	c=1 d=1.70827e-35 t=57107
caan2 	產	c=4 d=1.1965e-07 t=57107
caan2 ban2 	產品	c=29 d=0.000306725 t=57107
caan2 jip6 	產業	c=1 d=5.69485e-83 t=57107
caan2 sang1 	產生	c=1 d=7.73261e-64 t=57107
caang2 sik1 	橙色	c=2 d=1.47362e-120 t=57107
caap3 gin6 	插件	c=14 d=4.38275e-14 t=57107
caap3 kuk1 	插曲	c=1 d=1.20228e-79 t=57107
caat3 	刷	c=1 d=1.74237e-91 t=57107
caat3 san1 	刷新	c=9 d=5.11344e-22 t=57107
caau2 	吵	c=4 d=2.80103e-19 t=57107
caau2 	炒	c=1 d=0.0100017 t=57107
caau2 faan6 	炒飯	c=1 d=5.33045e-11 t=57107
cai4 	齊	c=1 d=1.80099e-98 t=57107
cam4 	尋	c=1 d=4.55906e-113 t=57107
cam4 mai4 	沉迷	c=1 d=1.01064e-95 t=57107
can1 cik1 	親戚	c=1 d=3.20998e-103 t=57107
can1 gan6 	親近	c=1 d=4.42023e-14 t=57107
can2 dyun3 	診斷	c=6 d=8.6387e-106 t=57107
can4 	陳	c=8 d=1.81446e-68 t=57107
cang4 	層	c=5 d=6.89252e-77 t=57107
cang4 ci3 	層次	c=1 d=8.46397e-39 t=57107
cang4 ging1 	曾經	c=3 d=2.27577e-86 t=57107
cang4 kap1 	層級	c=5 d=2.03351e-56 t=57107
cat1 	七	c=1 d=1.42706e-66 t=57107
cau1 	抽	c=2 d=4.63235e-36 t=57107
cau1 tin1 	秋天	c=2 d=1.44818e-33 t=57107
cau3 	湊	c=1 d=1.93862e-82 t=57107
cau4 	籌	c=1 d=2.54713e-29 t=57107
cau4 maa5 	籌碼	c=1 d=7.58078e-66 t=57107
ce1 	車	c=8 d=0.709354 t=57107
ce1 dou6 	車道	c=1 d=5.22528e-100 t=57107
ce1 gaan1 	車間	c=1 d=1.60321e-53 t=57107
ce1 mei5 	車尾	c=1 d=1.9262e-124 t=57107
ce1 soeng5 	車上	c=1 d=2.6047e-86 t=57107
ce1 wo5 	車禍	c=1 d=1.26561e-124 t=57107
ce2 	且	c=8 d=0.71177 t=57107
ce4 	斜	c=2 d=1.39958e-109 t=57107
ce4 gaai1 	斜街	c=1 d=1.32548e-109 t=57107
cek3 cyun3 	尺寸	c=9 d=8.38726e-51 t=57107
